ID,NPL_score,SMILES_no_chiral,SMILES_chiral
CHEMBL1916667,-0.95,Cc1ccc(S(=O)(=O)Oc2ccc(C3=NOC(CN(C)C)C3)cc2)cc1,Cc1ccc(S(=O)(=O)Oc2ccc(C3=NOC(CN(C)C)C3)cc2)cc1
CHEMBL3126654,-1.113,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)[nH]c(=N)[nH]1,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)[nH]c(=N)[nH]1
CHEMBL1397359,-1.264,COc1ccc(C(=O)OCC(=O)N=c2[nH]cc([N+](=O)[O-])s2)cc1OC,COc1ccc(C(=O)OCC(=O)N=c2[nH]cc([N+](=O)[O-])s2)cc1OC
CHEMBL1440076,-1.901,O=C(C=Cc1ccc(Br)cc1)NC(=S)Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,O=C(/C=C/c1ccc(Br)cc1)NC(=S)Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1
CHEMBL2047540,0.515,O=C(NCCS)C(Cc1ccc(O)c(Br)c1)=NO,O=C(NCCS)C(Cc1ccc(O)c(Br)c1)=NO
CHEMBL2047669,0.175,CON=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS,CON=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS
CHEMBL2047690,-0.218,CSc1ccc(CC(=NO)C(=O)NCCS)cc1,CSc1ccc(CC(=NO)C(=O)NCCS)cc1
CHEMBL2047715,-0.076,CN(C)c1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(N(C)C)cc2)=NO)cc1,CN(C)c1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(N(C)C)cc2)=NO)cc1
CHEMBL83747,0.27,O=C(NCCSSCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO,O=C(NCCSSCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO
CHEMBL2047695,0.37,COc1cc(CC(=NO)C(=O)NCCS)cc(I)c1OC,COc1cc(CC(=NO)C(=O)NCCS)cc(I)c1OC
CHEMBL139528,2.056,C=CC(Cl)(CBr)CCC(Br)C(C)(C)Cl,C=C[C@](Cl)(CBr)CC[C@@H](Br)C(C)(C)Cl
CHEMBL557902,0.895,N=c1[nH]cnc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O,N=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CNC(C(=O)O)C2)[C@@H](O)[C@H]1O
CHEMBL4089964,-0.858,COc1ccc(Cl)cc1C(=O)NCCc1ccc(CCC(O)=NO)cc1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(CCC(O)=NO)cc1
CHEMBL558883,0.556,CN1CC(SCC2OC(n3cnc4c(=N)[nH]cnc43)C(O)C2O)CC1C(=O)O,CN1C[C@@H](SC[C@H]2O[C@@H](n3cnc4c(=N)[nH]cnc43)C(O)[C@@H]2O)CC1C(=O)O
CHEMBL4087230,-0.708,COc1ccc(Cl)cc1C(=O)NCCc1cccc(C=CC(O)=NO)c1,COc1ccc(Cl)cc1C(=O)NCCc1cccc(/C=C/C(O)=NO)c1
