ID,SMILES_chiral,SMILES_no_chiral,NPL_score
UNPD_subset_A_8424,C=CCCC[C@H]1O[C@](Br)(CBr)CC[C@H]1C,C=CCCCC1OC(Br)(CBr)CCC1C,2.04
UNPD_subset_A_8425,CC1(C)O[C@]2(C)CCC[C@]3(C)CCC[C@H]1[C@H]32,CC12CCCC3C1C(C)(CCC2)OC3(C)C,2.99
UNPD_subset_A_8426,CCC[C@H]1CCC2(CC[C@H](CCC)O2)O1,CCCC1CCC2(CCC(CCC)O2)O1,0.918
UNPD_subset_A_8427,CCCN1OCCO1,CCCN1OCCO1,0.607
UNPD_subset_A_8428,CC1=CC[C@@]23C[C@@H]1[C@]2(C)CCCC3(C)C,CC1=CCC23CC1C2(C)CCCC3(C)C,2.682
UNPD_subset_A_8429,COc1ccc(-c2coc3cc(OC)c(OC)cc3c2=O)cc1OC,COc1ccc(-c2coc3cc(OC)c(OC)cc3c2=O)cc1OC,0.425
UNPD_subset_A_8430,Cc1cc2cc3n(c(=O)c2cn1)CCc1c-3[nH]c2ccccc12,Cc1cc2cc3n(c(=O)c2cn1)CCc1c-3[nH]c2ccccc12,-0.013
UNPD_subset_A_8431,COc1cccc2c(=O)n3c(nc12)-c1[nH]c2ccccc2c1CC3,COc1cccc2c(=O)n3c(nc12)-c1[nH]c2ccccc2c1CC3,-0.043
UNPD_subset_A_8432,CN1CCc2c([nH]c3ccccc23)C1=O,CN1CCc2c([nH]c3ccccc23)C1=O,0.196
UNPD_subset_A_8433,C[C@@H]1CC[C@H]2C(C)(C)C(=O)[C@]3(C)C(=O)C=C[C@]123,CC1CCC2C(C)(C)C(=O)C3(C)C(=O)C=CC123,2.39
UNPD_subset_A_8434,COc1cc2c(c(OC)c1)C(=O)O[C@H](C)C2,COc1cc2c(c(OC)c1)C(=O)OC(C)C2,1.155
UNPD_subset_A_8435,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,1.183
UNPD_subset_A_8436,CC(c1c[nH]c2ccccc12)(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,CC(c1c[nH]c2ccccc12)(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,0.032
UNPD_subset_A_8437,COc1ccc(C2=C(c3ccc(OC)c(OC)c3)[C@@H]3CCCN3CC2)cc1OC,COc1ccc(C2=C(c3ccc(OC)c(OC)c3)C3CCCN3CC2)cc1OC,0.207
UNPD_subset_A_8438,CO[C@@H]1[C@H]2C3=CCO[C@H]4CC(=O)N5c6ccccc6[C@@]6(CCN(C3)[C@@H]16)[C@@H]5[C@H]42,COC1C2C3=CCOC4CC(=O)N5c6ccccc6C6(CCN(C3)C16)C5C42,2.681
UNPD_subset_A_8439,CC1=C2C[C@@H]3CC[C@H](C)[C@@]2(CC1=O)C3(C)C,CC1=C2CC3CCC(C)C2(CC1=O)C3(C)C,3.287
UNPD_subset_A_8440,COc1ccc(OC)c2c1C[C@@H]1c3c(cc4c(c3-2)OCO4)CCN1C,COc1ccc(OC)c2c1CC1c3c(cc4c(c3-2)OCO4)CCN1C,1.387
UNPD_subset_A_8441,COc1cccc(OC)c1,COc1cccc(OC)c1,-0.433
UNPD_subset_A_8442,c1ccc2c(c1)c1c3c4c(cc5c(c42)OCO5)CCN3COC1,c1ccc2c(c1)c1c3c4c(cc5c(c42)OCO5)CCN3COC1,0.786
UNPD_subset_A_8443,CN1c2ccccc2[C@@]23CCN4CCC[C@]5(CC[C@]12CC5)[C@H]43,CN1c2ccccc2C23CCN4CCCC5(CCC12CC5)C43,1.426
UNPD_subset_A_8444,COc1cc2ccc(=O)oc2c2c1O[C@@H](C)C2(C)C,COc1cc2ccc(=O)oc2c2c1OC(C)C2(C)C,1.757
UNPD_subset_A_8445,C=C1C(=O)O[C@@H]2C[C@H](C)C3=CC[C@@H](C)O[C@@H]3C[C@@H]12,C=C1C(=O)OC2CC(C)C3=CCC(C)OC3CC12,2.523
UNPD_subset_A_8446,C=C1C(=O)O[C@H]2[C@H]1CC[C@H](C)[C@H]1CC[C@@]3(C)O[C@@]213,C=C1C(=O)OC2C1CCC(C)C1CCC3(C)OC123,3.29
