ID,SMILES_chiral,SMILES_no_chiral,NPL_score
REAL_subset_2811,O=C(Cc1cnco1)N1CCC(CCN2CCCS2(=O)=O)CC1,O=C(Cc1cnco1)N1CCC(CCN2CCCS2(=O)=O)CC1,-1.12
REAL_subset_2812,COc1ccsc1CN[C@H](C)c1ccc(OCCF)c(F)c1,COc1ccsc1CNC(C)c1ccc(OCCF)c(F)c1,-1.468
REAL_subset_2813,N#CC1CNCC12CC(C(=O)N1CCOCC3(COCCN3)C1)C2,N#CC1CNCC12CC(C(=O)N1CCOCC3(COCCN3)C1)C2,0.026
REAL_subset_2814,COc1ccc2sc(CNCC(N)c3cc(F)cc(Cl)c3)nc2c1,COc1ccc2sc(CNCC(N)c3cc(F)cc(Cl)c3)nc2c1,-1.859
REAL_subset_2815,COc1cccc(C(F)(F)CNC(C)c2ccc(F)cc2N(C)C)n1,COc1cccc(C(F)(F)CNC(C)c2ccc(F)cc2N(C)C)n1,-1.225
REAL_subset_2816,COc1nccc(C)c1CN=c1[nH]c(C(F)F)nc2ccccc12,COc1nccc(C)c1CN=c1[nH]c(C(F)F)nc2ccccc12,-0.95
REAL_subset_2817,COCc1ccnc(CCNC(C)c2ccccc2SC(F)(F)F)n1,COCc1ccnc(CCNC(C)c2ccccc2SC(F)(F)F)n1,-1.313
REAL_subset_2818,COCCc1n[nH]c(=NC(C)c2nccc3ccc(OC)cc23)s1,COCCc1n[nH]c(=NC(C)c2nccc3ccc(OC)cc23)s1,-0.581
REAL_subset_2819,C[C@H](CN)CNCc1csc(COc2ccc(Cl)cc2)n1,CC(CN)CNCc1csc(COc2ccc(Cl)cc2)n1,-1.824
REAL_subset_2820,c1cnc(-c2cccc(-c3cc4ncccc4s3)n2)nc1,c1cnc(-c2cccc(-c3cc4ncccc4s3)n2)nc1,-1.539
REAL_subset_2821,C[C@@H]1CN(C(=O)c2cc3ccc(F)cc3o2)C[C@@H]1NC(=O)CCc1cccnc1,CC1CN(C(=O)c2cc3ccc(F)cc3o2)CC1NC(=O)CCc1cccnc1,-1.164
REAL_subset_2822,COCC(C)SCC1(CN(C)C)CC1,COCC(C)SCC1(CN(C)C)CC1,-0.272
REAL_subset_2823,Clc1c(-c2ccco2)ccc2ocnc12,Clc1c(-c2ccco2)ccc2ocnc12,-0.841
REAL_subset_2824,Clc1c(-c2cscn2)ccc2[nH]cnc12,Clc1c(-c2cscn2)ccc2[nH]cnc12,-1.19
REAL_subset_2825,Clc1[nH]nnc1-c1noc(-c2csc(Br)c2Cl)n1,Clc1[nH]nnc1-c1noc(-c2csc(Br)c2Cl)n1,-1.92
REAL_subset_2826,Clc1cnn2cc(-c3ncc[nH]3)cnc12,Clc1cnn2cc(-c3ncc[nH]3)cnc12,-2.025
REAL_subset_2827,Clc1cc(-c2ncc[nH]2)c2cccnc2c1,Clc1cc(-c2ncc[nH]2)c2cccnc2c1,-1.272
REAL_subset_2828,Clc1ccc2cncc(-c3cnc4ccnn4c3)c2c1,Clc1ccc2cncc(-c3cnc4ccnn4c3)c2c1,-1.401
REAL_subset_2829,Clc1ccc2ncc(-c3cc4cc[nH]c4nn3)cc2c1,Clc1ccc2ncc(-c3cc4cc[nH]c4nn3)cc2c1,-1.314
REAL_subset_2830,Clc1ccc2[nH]c(-c3cscn3)cc2c1,Clc1ccc2[nH]c(-c3cscn3)cc2c1,-1.914
REAL_subset_2831,CN(C(=O)c1ccc(C2CCCO2)nn1)c1ccc(Br)cc1Cl,CN(C(=O)c1ccc(C2CCCO2)nn1)c1ccc(Br)cc1Cl,-1.427
REAL_subset_2832,CCCn1cc(-c2nc(C(C)(C)C)n3cc[nH]c(=N)c23)c(C)n1,CCCn1cc(-c2nc(C(C)(C)C)n3cc[nH]c(=N)c23)c(C)n1,-1.197
REAL_subset_2833,CN(C(=O)C(C#N)C1CCNCC1)[C@@H]1C[C@@H]2CN[C@H]1C2,CN(C(=O)C(C#N)C1CCNCC1)C1CC2CNC1C2,0.184
REAL_subset_2834,Cc1cccc(SCCn2cc(-c3ncoc3CN)nn2)c1,Cc1cccc(SCCn2cc(-c3ncoc3CN)nn2)c1,-1.739
REAL_subset_2835,CC1(O)CCS(=O)(=NC(=O)C23CC2CCC3NC(=O)OC(C)(C)C)CC1,CC1(O)CCS(=O)(=NC(=O)C23CC2CCC3NC(=O)OC(C)(C)C)CC1,0.59
REAL_subset_2836,CC1(NC(=O)OC(C)(C)C)CCS(=O)(=NC(=O)C2C[C@]2(C)C(F)F)CC1,CC1(NC(=O)OC(C)(C)C)CCS(=O)(=NC(=O)C2CC2(C)C(F)F)CC1,-0.376
REAL_subset_2837,CN(C)C(C)(C)C(=O)NC1CCC(C)(NC(=O)[C@]23C[C@H]2CCC3(F)F)CC1,CN(C)C(C)(C)C(=O)NC1CCC(C)(NC(=O)C23CC2CCC3(F)F)CC1,-0.0
REAL_subset_2838,Cc1ccccc1CCN(Cc1ncc[nH]1)c1ncn2ccnc2c1C,Cc1ccccc1CCN(Cc1ncc[nH]1)c1ncn2ccnc2c1C,-1.324
REAL_subset_2839,COC(=O)C1(NC(=O)C2OC[C@@H]3CCC[C@H]2C3)CCC(C(F)F)CC1,COC(=O)C1(NC(=O)C2OCC3CCCC2C3)CCC(C(F)F)CC1,0.046
REAL_subset_2840,CC(NC(=O)C(F)(F)C1(O)CCOCC1)C(C)NC(=O)[C@H]1C[C@@H](C#N)C1,CC(NC(=O)C1CC(C#N)C1)C(C)NC(=O)C(F)(F)C1(O)CCOCC1,-0.529
REAL_subset_2841,COc1ccccc1[C@H]1C[C@H](NC(C)C(=O)N2c3ccccc3CC2C)C1,COc1ccccc1C1CC(NC(C)C(=O)N2c3ccccc3CC2C)C1,-0.514
